Tiempo(s)	HUM1	V1	HUM2	V2	HUM3	V3	HUM4	V4	HUM5	V5	HUM6	V6	HUM7	V7	HUM8	V8
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.06	0.00	0.07	0.00	0.09	0.00	0.11
1.0	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.14	0.20	0.15	0.00	0.14
2.0	0.00	0.11	0.00	0.12	0.00	0.10	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.20	0.15
3.0	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14
4.0	0.00	0.13	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14
5.0	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.11	0.00	0.12	0.00	0.14	0.00	0.13	0.10	0.15
6.0	0.00	0.14	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14	0.30	0.16	0.10	0.15	0.00	0.14
7.0	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.13	0.10	0.15
8.0	0.00	0.14	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.12	0.10	0.15	0.10	0.15
9.0	0.00	0.14	0.30	0.16	0.00	0.14	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.13	0.00	0.14
10.0	0.10	0.15	0.30	0.16	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.13	0.10	0.15	0.20	0.15
11.0	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15
12.0	0.00	0.13	0.30	0.16	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.13	0.10	0.15
13.0	0.30	0.16	0.00	0.13	0.90	0.19	0.00	0.11	0.70	0.18	0.00	0.13	0.00	0.10	0.00	0.14
14.0	0.10	0.15	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.13
15.0	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.30	0.16	0.00	0.13	0.00	0.14
16.0	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.13	0.00	0.11	0.00	0.13	0.00	0.13
17.0	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.13
18.0	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.13	0.00	0.14	0.00	0.14
19.0	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.12	0.00	0.14
20.0	0.10	0.15	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.13
21.0	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.13	0.40	0.16	0.20	0.15	0.00	0.13	0.00	0.14
22.0	0.20	0.15	0.30	0.16	0.50	0.17	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.13	0.00	0.13
23.0	0.20	0.15	0.10	0.15	0.00	0.13	0.20	0.15	0.00	0.12	0.00	0.13	0.00	0.14	0.00	0.14
25.0	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.13
26.0	0.20	0.15	0.00	0.12	0.10	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.20	0.15	0.00	0.11
27.0	0.00	0.14	0.00	0.12	0.00	0.14	0.10	0.15	0.00	0.12	0.00	0.14	0.00	0.14	0.00	0.14
28.0	0.20	0.15	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13
29.0	0.00	0.14	0.00	0.14	0.40	0.16	0.00	0.13	0.00	0.14	0.40	0.16	0.00	0.14	0.00	0.14
30.0	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15
31.0	0.20	0.15	0.00	0.14	0.00	0.14	0.30	0.16	0.30	0.16	0.30	0.16	0.00	0.14	0.00	0.13
32.0	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.11	0.00	0.13	0.00	0.14
33.0	0.00	0.10	0.00	0.11	0.00	0.13	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.12	0.00	0.13
34.0	0.10	0.15	0.00	0.12	0.10	0.15	0.10	0.15	0.00	0.12	0.00	0.13	0.00	0.13	0.00	0.13
35.0	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.20	0.15
36.0	0.10	0.15	0.10	0.15	0.50	0.17	0.20	0.15	0.00	0.11	0.50	0.17	0.00	0.14	0.00	0.14
37.0	0.00	0.14	0.20	0.15	0.30	0.16	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14
38.0	0.00	0.12	0.00	0.14	0.00	0.09	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.10	0.15
39.0	0.30	0.16	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.12	0.00	0.13	0.00	0.13	0.00	0.14
40.0	0.30	0.16	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.20	0.15
41.0	0.10	0.15	0.20	0.15	0.20	0.15	0.30	0.16	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.12
42.0	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.12	0.30	0.16	0.00	0.13
43.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14
44.0	0.00	0.13	0.20	0.15	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.10	0.15	0.20	0.15
45.0	0.00	0.13	0.00	0.13	0.20	0.15	0.30	0.16	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14
46.0	0.00	0.14	0.10	0.15	0.50	0.17	0.20	0.15	0.10	0.15	0.00	0.12	0.00	0.14	0.00	0.14
47.0	0.10	0.15	0.20	0.15	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14
48.0	0.00	0.13	0.20	0.15	0.30	0.16	0.00	0.14	0.30	0.16	0.00	0.12	0.00	0.13	0.00	0.14
49.0	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.13	0.00	0.14
