Tiempo(s),HUM1,V1,HUM2,V2,HUM3,V3,HUM4,V4,HUM5,V5,HUM6,V6,HUM7,V7,HUM8,V8
112,23,0.11,23,0.11,22,0.11,21,0.10,46,0.22,21,0.10,20,0.10,20,0.10
112,23,0.11,23,0.11,22,0.11,21,0.10,46,0.22,21,0.10,20,0.10,20,0.10
0,0,0.00,0,0.00,5,0.02,9,0.04,36,0.18,10,0.05,17,0.08,19,0.09
1,20,0.10,23,0.11,24,0.12,20,0.10,48,0.23,20,0.10,22,0.11,20,0.10
2,23,0.11,20,0.10,23,0.11,20,0.10,47,0.23,21,0.10,21,0.10,23,0.11
3,21,0.10,22,0.11,24,0.12,21,0.10,46,0.22,23,0.11,21,0.10,22,0.11
4,20,0.10,22,0.11,22,0.11,25,0.12,47,0.23,21,0.10,22,0.11,19,0.09
5,24,0.12,20,0.10,23,0.11,22,0.11,43,0.21,24,0.12,20,0.10,21,0.10
6,22,0.11,20,0.10,24,0.12,24,0.12,43,0.21,21,0.10,22,0.11,22,0.11
7,24,0.12,30,0.15,23,0.11,24,0.12,47,0.23,20,0.10,22,0.11,22,0.11
8,22,0.11,20,0.10,22,0.11,24,0.12,43,0.21,23,0.11,22,0.11,22,0.11
9,21,0.10,22,0.11,21,0.10,23,0.11,45,0.22,20,0.10,21,0.10,21,0.10
10,26,0.13,28,0.14,23,0.11,22,0.11,45,0.22,19,0.09,23,0.11,19,0.09
11,21,0.10,23,0.11,22,0.11,24,0.12,40,0.20,23,0.11,22,0.11,20,0.10
12,21,0.10,22,0.11,22,0.11,21,0.10,45,0.22,24,0.12,21,0.10,23,0.11
13,21,0.10,23,0.11,24,0.12,18,0.09,46,0.22,8,0.04,17,0.08,24,0.12
14,23,0.11,22,0.11,22,0.11,20,0.10,43,0.21,26,0.13,20,0.10,23,0.11
15,22,0.11,22,0.11,21,0.10,24,0.12,43,0.21,25,0.12,22,0.11,23,0.11
16,23,0.11,21,0.10,24,0.12,22,0.11,43,0.21,23,0.11,21,0.10,22,0.11
17,25,0.12,20,0.10,21,0.10,23,0.11,41,0.20,22,0.11,22,0.11,21,0.10
18,22,0.11,21,0.10,24,0.12,22,0.11,40,0.20,20,0.10,21,0.10,23,0.11
19,23,0.11,21,0.10,23,0.11,23,0.11,41,0.20,21,0.10,22,0.11,22,0.11
20,22,0.11,20,0.10,22,0.11,22,0.11,41,0.20,20,0.10,21,0.10,24,0.12
21,20,0.10,22,0.11,21,0.10,23,0.11,41,0.20,19,0.09,23,0.11,22,0.11
22,21,0.10,23,0.11,22,0.11,23,0.11,42,0.21,20,0.10,23,0.11,21,0.10
23,20,0.10,24,0.12,22,0.11,22,0.11,43,0.21,24,0.12,21,0.10,22,0.11
24,22,0.11,23,0.11,25,0.12,20,0.10,45,0.22,23,0.11,22,0.11,22,0.11
25,23,0.11,24,0.12,23,0.11,21,0.10,43,0.21,22,0.11,25,0.12,19,0.09
26,21,0.10,20,0.10,21,0.10,24,0.12,41,0.20,25,0.12,21,0.10,21,0.10
27,23,0.11,25,0.12,19,0.09,23,0.11,41,0.20,20,0.10,23,0.11,21,0.10
28,24,0.12,21,0.10,22,0.11,23,0.11,39,0.19,23,0.11,21,0.10,21,0.10
29,23,0.11,23,0.11,22,0.11,21,0.10,41,0.20,20,0.10,21,0.10,20,0.10
30,22,0.11,20,0.10,23,0.11,22,0.11,40,0.20,23,0.11,23,0.11,22,0.11
31,25,0.12,22,0.11,25,0.12,21,0.10,37,0.18,22,0.11,21,0.10,21,0.10
33,23,0.11,26,0.13,20,0.10,22,0.11,40,0.20,21,0.10,21,0.10,22,0.11
34,27,0.13,24,0.12,27,0.13,19,0.09,45,0.22,17,0.08,24,0.12,21,0.10
35,22,0.11,24,0.12,22,0.11,22,0.11,39,0.19,16,0.08,22,0.11,20,0.10
36,24,0.12,23,0.11,20,0.10,24,0.12,37,0.18,23,0.11,22,0.11,22,0.11
37,19,0.09,22,0.11,23,0.11,22,0.11,38,0.19,21,0.10,21,0.10,22,0.11
38,23,0.11,23,0.11,24,0.12,22,0.11,40,0.20,22,0.11,19,0.09,22,0.11
39,20,0.10,24,0.12,22,0.11,24,0.12,37,0.18,24,0.12,22,0.11,21,0.10
40,24,0.12,23,0.11,21,0.10,21,0.10,40,0.20,22,0.11,23,0.11,21,0.10
41,23,0.11,20,0.10,24,0.12,22,0.11,36,0.18,24,0.12,21,0.10,19,0.09
42,24,0.12,23,0.11,21,0.10,24,0.12,39,0.19,22,0.11,23,0.11,21,0.10
43,24,0.12,20,0.10,22,0.11,25,0.12,39,0.19,21,0.10,23,0.11,21,0.10
44,21,0.10,25,0.12,23,0.11,26,0.13,37,0.18,17,0.08,20,0.10,21,0.10
45,22,0.11,20,0.10,22,0.11,20,0.10,38,0.19,19,0.09,23,0.11,23,0.11
46,22,0.11,21,0.10,23,0.11,22,0.11,39,0.19,23,0.11,21,0.10,20,0.10
47,22,0.11,20,0.10,23,0.11,21,0.10,35,0.17,22,0.11,21,0.10,21,0.10
48,20,0.10,22,0.11,19,0.09,22,0.11,37,0.18,25,0.12,21,0.10,22,0.11
49,23,0.11,22,0.11,20,0.10,25,0.12,38,0.19,22,0.11,21,0.10,22,0.11
50,23,0.11,24,0.12,23,0.11,19,0.09,37,0.18,21,0.10,22,0.11,21,0.10
51,22,0.11,22,0.11,25,0.12,23,0.11,37,0.18,22,0.11,24,0.12,21,0.10
52,23,0.11,22,0.11,22,0.11,23,0.11,34,0.17,23,0.11,21,0.10,22,0.11
53,22,0.11,24,0.12,20,0.10,25,0.12,38,0.19,20,0.10,22,0.11,22,0.11
54,22,0.11,23,0.11,20,0.10,27,0.13,42,0.21,17,0.08,22,0.11,22,0.11
55,21,0.10,24,0.12,23,0.11,22,0.11,37,0.18,22,0.11,23,0.11,20,0.10
56,23,0.11,23,0.11,22,0.11,23,0.11,37,0.18,22,0.11,20,0.10,23,0.11
57,20,0.10,20,0.10,22,0.11,22,0.11,32,0.16,25,0.12,26,0.13,20,0.10
58,22,0.11,22,0.11,21,0.10,23,0.11,36,0.18,21,0.10,23,0.11,21,0.10
59,25,0.12,24,0.12,20,0.10,23,0.11,37,0.18,21,0.10,21,0.10,20,0.10
60,23,0.11,21,0.10,25,0.12,22,0.11,33,0.16,21,0.10,22,0.11,22,0.11
61,21,0.10,20,0.10,25,0.12,22,0.11,32,0.16,22,0.11,22,0.11,18,0.09
62,25,0.12,20,0.10,21,0.10,22,0.11,36,0.18,23,0.11,20,0.10,22,0.11
63,22,0.11,22,0.11,21,0.10,23,0.11,34,0.17,20,0.10,21,0.10,20,0.10
64,25,0.12,16,0.08,22,0.11,22,0.11,35,0.17,18,0.09,22,0.11,22,0.11
65,24,0.12,24,0.12,20,0.10,23,0.11,36,0.18,20,0.10,22,0.11,21,0.10
66,20,0.10,22,0.11,24,0.12,21,0.10,34,0.17,18,0.09,24,0.12,21,0.10
68,21,0.10,23,0.11,25,0.12,23,0.11,33,0.16,22,0.11,23,0.11,20,0.10
69,20,0.10,24,0.12,22,0.11,24,0.12,36,0.18,19,0.09,21,0.10,22,0.11
70,23,0.11,18,0.09,22,0.11,26,0.13,42,0.21,28,0.14,19,0.09,25,0.12
71,24,0.12,22,0.11,23,0.11,22,0.11,37,0.18,19,0.09,24,0.12,22,0.11
72,22,0.11,21,0.10,23,0.11,21,0.10,35,0.17,20,0.10,23,0.11,24,0.12
73,23,0.11,19,0.09,22,0.11,24,0.12,35,0.17,21,0.10,21,0.10,23,0.11
74,19,0.09,25,0.12,21,0.10,22,0.11,30,0.15,23,0.11,23,0.11,19,0.09
75,24,0.12,21,0.10,26,0.13,20,0.10,33,0.16,25,0.12,20,0.10,22,0.11
76,23,0.11,23,0.11,20,0.10,23,0.11,32,0.16,22,0.11,21,0.10,22,0.11
77,22,0.11,24,0.12,21,0.10,21,0.10,34,0.17,21,0.10,22,0.11,23,0.11
78,21,0.10,21,0.10,25,0.12,24,0.12,33,0.16,22,0.11,20,0.10,23,0.11
79,23,0.11,24,0.12,22,0.11,23,0.11,34,0.17,18,0.09,22,0.11,24,0.12
80,21,0.10,22,0.11,22,0.11,24,0.12,33,0.16,25,0.12,20,0.10,20,0.10
81,23,0.11,21,0.10,23,0.11,21,0.10,31,0.15,22,0.11,20,0.10,21,0.10
82,21,0.10,21,0.10,24,0.12,22,0.11,31,0.15,21,0.10,23,0.11,20,0.10
